state,regional_division,article_title,revision_id,article_quality,population
alabama,East South Central,"Abbeville, Alabama",1171163550,C,5074296.0
alabama,East South Central,"Adamsville, Alabama",1177621427,C,5074296.0
alabama,East South Central,"Addison, Alabama",1168359898,C,5074296.0
alabama,East South Central,"Akron, Alabama",1165909508,GA,5074296.0
alabama,East South Central,"Alabaster, Alabama",1179139816,C,5074296.0
alabama,East South Central,"Albertville, Alabama",1179198677,C,5074296.0
alabama,East South Central,"Alexander City, Alabama",1179140073,GA,5074296.0
alabama,East South Central,"Aliceville, Alabama",1167792390,GA,5074296.0
alabama,East South Central,"Allgood, Alabama",1165909718,C,5074296.0
alabama,East South Central,"Altoona, Alabama",1165909823,C,5074296.0
alabama,East South Central,"Andalusia, Alabama",1179141586,C,5074296.0
alabama,East South Central,"Anderson, Lauderdale County, Alabama",662691565,Stub,5074296.0
alabama,East South Central,"Anniston, Alabama",1176049382,C,5074296.0
alabama,East South Central,"Arab, Alabama",1171375371,C,5074296.0
alabama,East South Central,"Ardmore, Alabama",1176903479,GA,5074296.0
alabama,East South Central,"Argo, Alabama",1177623964,C,5074296.0
alabama,East South Central,"Ariton, Alabama",1166014478,C,5074296.0
alabama,East South Central,"Arley, Alabama",1166014498,C,5074296.0
alabama,East South Central,"Ashford, Alabama",1166014593,C,5074296.0
alabama,East South Central,"Ashland, Alabama",1174331705,C,5074296.0
alabama,East South Central,"Ashville, Alabama",1148844011,C,5074296.0
alabama,East South Central,"Athens, Alabama",1175308807,C,5074296.0
alabama,East South Central,"Atmore, Alabama",1167926420,C,5074296.0
alabama,East South Central,"Attalla, Alabama",1165507856,C,5074296.0
alabama,East South Central,"Auburn, Alabama",1179878794,C,5074296.0
alabama,East South Central,"Autaugaville, Alabama",1166014815,C,5074296.0
alabama,East South Central,"Avon, Alabama",1166014861,Start,5074296.0
alabama,East South Central,"Babbie, Alabama",1168820544,Start,5074296.0
alabama,East South Central,"Baileyton, Alabama",1166014939,C,5074296.0
alabama,East South Central,"Bakerhill, Alabama",1166014954,Start,5074296.0
alabama,East South Central,"Banks, Alabama",1166014997,C,5074296.0
alabama,East South Central,"Bay Minette, Alabama",1177963600,C,5074296.0
alabama,East South Central,"Bayou La Batre, Alabama",1177999052,C,5074296.0
alabama,East South Central,"Bear Creek, Alabama",1166015184,GA,5074296.0
alabama,East South Central,"Beatrice, Alabama",1166015214,C,5074296.0
alabama,East South Central,"Beaverton, Alabama",1166015251,Start,5074296.0
alabama,East South Central,"Belk, Alabama",1166015313,C,5074296.0
alabama,East South Central,"Benton, Alabama",1166015434,C,5074296.0
alabama,East South Central,"Berlin, Alabama",1166015476,Start,5074296.0
alabama,East South Central,"Berry, Alabama",1166015515,C,5074296.0
alabama,East South Central,"Bessemer, Alabama",1178999596,C,5074296.0
alabama,East South Central,"Billingsley, Alabama",1166015695,Start,5074296.0
alabama,East South Central,"Birmingham, Alabama",1179944837,B,5074296.0
alabama,East South Central,"Black, Alabama",1166015772,Start,5074296.0
alabama,East South Central,"Blountsville, Alabama",1105978061,GA,5074296.0
alabama,East South Central,"Blue Springs, Alabama",1166015902,Start,5074296.0
alabama,East South Central,"Boaz, Alabama",1177138566,GA,5074296.0
